fen,type,wdl,dtz,num_pieces,turn
1K6/8/k7/2R5/P7/8/3P4/8 w - - 0 1,R+2P vs k,2,1,5,1
8/1K6/2q5/8/6k1/8/8/8 w - - 0 1,K vs k+q,0,0,3,1
8/5k2/8/8/8/8/1Q2K3/8 w - - 0 1,Q vs k,2,13,3,1
2k5/3p4/8/8/8/8/6K1/8 b - - 0 1,K vs k+p,2,11,3,0
8/8/8/8/K7/3PR3/8/1k6 b - - 0 1,R+P vs k,-2,-2,4,0
8/8/1B6/4K1k1/8/q1R5/8/8 w - - 0 1,R+B vs k+q,2,1,5,1
4RK2/8/8/8/8/8/4k3/8 b - - 0 1,R vs k,-2,-26,3,0
5R2/1P6/3k4/K7/8/8/8/2Q5 b - - 0 1,Q+R+P vs k,-2,-2,5,0
8/8/6k1/4B3/8/8/2K4b/8 w - - 0 1,B vs k+b,0,0,4,1
8/7R/5b2/8/2kb4/8/8/6K1 w - - 0 1,R vs k+2b,0,0,5,1
8/1K6/1N6/8/8/2k1B3/1b6/8 b - - 0 1,B+N vs k+b,0,0,5,0
8/8/6r1/6r1/k7/8/1K6/8 w - - 0 1,K vs k+2r,-2,-6,4,1
8/k7/8/8/8/8/4NK2/8 w - - 0 1,N vs k,0,0,3,1
2k5/8/8/4K3/8/8/4N3/8 b - - 0 1,N vs k,0,0,3,0
6k1/8/8/8/4p3/7K/6r1/8 b - - 0 1,K vs k+r+p,2,3,4,0
7r/5K2/8/8/8/8/B7/5k2 w - - 0 1,B vs k+r,0,0,4,1
8/5B2/8/8/2k5/2n1Kr2/8/8 w - - 0 1,B vs k+r+n,0,0,5,1
3Q4/8/8/2k5/8/7K/8/8 b - - 0 1,Q vs k,-2,-16,3,0
8/8/8/1p4Q1/3k4/8/4K3/3N2B1 w - - 0 1,Q+B+N vs k+p,2,1,6,1
6K1/8/2p5/6k1/8/8/3N4/2n5 w - - 0 1,N vs k+n+p,0,0,5,1
8/8/8/8/8/2p4k/4b3/2K5 w - - 0 1,K vs k+b+p,0,0,4,1
8/8/Q7/3k4/7b/8/3q1p2/2K5 w - - 0 1,Q vs k+q+b+p,2,1,6,1
6r1/8/6R1/8/8/8/K7/4k3 w - - 0 1,R vs k+r,2,1,4,1
8/3k4/6K1/2R5/8/3p4/8/8 w - - 0 1,R vs k+p,2,3,4,1
8/8/4k1K1/8/8/6N1/8/8 b - - 0 1,N vs k,0,0,3,0
8/8/7R/5bK1/8/7B/2b5/5k2 w - - 0 1,R+B vs k+2b,2,1,6,1
8/8/8/1P6/1k6/8/8/5K2 b - - 0 1,P vs k,0,0,3,0
8/8/5K2/8/4r3/8/4k3/8 w - - 0 1,K vs k+r,-2,-20,3,1
8/k7/3K4/1b6/8/8/P7/8 b - - 0 1,P vs k+b,0,0,4,0
8/8/8/2k1n3/8/8/1K6/8 w - - 0 1,K vs k+n,0,0,3,1
5kP1/1K6/8/8/3q4/8/8/N3p3 b - - 0 1,N+P vs k+q+p,2,1,6,0
4k3/6K1/2B5/8/8/1p4q1/8/8 b - - 0 1,B vs k+q+p,2,3,5,0
8/4k3/5P2/8/4b3/4K3/8/8 b - - 0 1,P vs k+b,0,0,4,0
8/8/8/8/2b5/3k4/6N1/5K2 w - - 0 1,N vs k+b,0,0,4,1
6r1/8/6K1/8/8/3k4/8/8 w - - 0 1,K vs k+r,-2,-26,3,1
8/8/p3P3/k7/8/8/8/3K4 b - - 0 1,P vs k+p,-2,-1,4,0
3K4/8/8/8/2r2Nk1/8/8/7R w - - 0 1,R+N vs k+r,0,0,5,1
6n1/8/8/6K1/8/8/8/6k1 w - - 0 1,K vs k+n,0,0,3,1
8/8/8/2k5/8/3Q4/4K3/7p b - - 0 1,Q vs k+p,0,0,4,0
2B5/6K1/5N2/8/4b3/3k4/8/8 w - - 0 1,B+N vs k+b,0,0,5,1
8/7k/3q4/8/7Q/7n/6K1/8 b - - 0 1,Q vs k+q+n,0,0,5,0
8/2Q1n3/6k1/8/1K6/8/8/8 b - - 0 1,Q vs k+n,0,0,4,0
5k2/8/5P2/8/8/8/4K3/8 b - - 0 1,P vs k,0,0,3,0
K7/8/8/8/8/k7/q3bb2/8 b - - 0 1,K vs k+q+2b,2,3,5,0
8/3K4/8/1P6/8/8/k7/8 w - - 0 1,P vs k,2,1,3,1
1k6/8/2R5/7q/6P1/8/8/6K1 w - - 0 1,R+P vs k+q,2,1,5,1
8/B7/8/8/8/3K4/8/N6k w - - 0 1,B+N vs k,2,48,4,1
8/4B3/8/6K1/8/p6k/8/8 w - - 0 1,B vs k+p,0,0,4,1
4K1P1/6k1/8/Q7/8/8/q7/8 w - - 0 1,Q+P vs k+q,2,1,5,1
8/8/8/8/3P4/8/k4K2/8 b - - 0 1,P vs k,-2,-2,3,0
6k1/8/5K2/8/5n2/8/8/8 w - - 0 1,K vs k+n,0,0,3,1
5q2/8/8/6K1/4k3/8/8/8 b - - 0 1,K vs k+q,2,5,3,0
3q4/8/8/1KR5/4k3/8/8/8 w - - 0 1,R vs k+q,-2,-40,4,1
8/4K3/8/1k6/5b2/8/3P4/2n5 b - - 0 1,P vs k+b+n,2,1,5,0
8/6K1/P7/7N/8/3k1N2/8/8 w - - 0 1,2N+P vs k,2,1,5,1
4B3/8/2K5/8/N7/8/p7/k7 w - - 0 1,B+N vs k+p,2,5,5,1
4N3/8/8/8/3K4/8/1k4R1/4Q3 b - - 0 1,Q+R+N vs k,-2,-2,5,0
2p5/1k6/8/5q2/8/7b/8/2K5 w - - 0 1,K vs k+q+b+p,-2,-2,5,1
4R3/8/2k5/8/K7/8/8/8 w - - 0 1,R vs k,2,21,3,1
8/8/1B6/8/8/8/6k1/3K4 w - - 0 1,B vs k,0,0,3,1
5P2/p3k3/7q/1K6/8/8/5q2/8 b - - 0 1,P vs k+2q+p,2,1,6,0
4RK2/8/8/8/7k/8/8/8 b - - 0 1,R vs k,-2,-24,3,0
8/k7/8/5r2/2K5/3b4/4R3/8 w - - 0 1,R vs k+r+b,0,0,5,1
8/4P3/2R5/8/8/8/6K1/2k5 b - - 0 1,R+P vs k,-2,-2,4,0
2K5/8/8/6k1/n3p3/8/8/1r2P3 b - - 0 1,P vs k+r+n+p,2,1,6,0
8/6K1/8/7P/8/8/k7/8 w - - 0 1,P vs k,2,1,3,1
4b2p/8/8/8/7K/8/k7/8 w - - 0 1,K vs k+b+p,0,0,4,1
8/6K1/8/5n2/8/4kn2/8/8 w - - 0 1,K vs k+2n,0,0,4,1
8/8/2R5/1K6/8/7q/1Q6/6k1 b - - 0 1,Q+R vs k+q,-2,-14,5,0
6K1/8/5b2/4r1k1/8/8/8/8 w - - 0 1,K vs k+r+b,-2,-6,4,1
2K5/8/2N4k/8/7R/8/8/8 b - - 0 1,R+N vs k,-2,-14,4,0
8/2b3P1/6k1/8/7K/q4P2/8/8 b - - 0 1,2P vs k+q+b,2,1,6,0
8/8/3B2k1/8/8/8/K7/8 b - - 0 1,B vs k,0,0,3,0
1N6/8/8/4K3/2k5/8/8/8 b - - 0 1,N vs k,0,0,3,0
8/3pN3/8/1K6/P7/8/8/k7 w - - 0 1,N+P vs k+p,2,1,5,1
6b1/8/8/3K3R/8/8/8/7k w - - 0 1,R vs k+b,2,4,4,1
2k5/8/8/8/N6P/8/1K6/n7 b - - 0 1,N+P vs k+n,-2,-2,5,0
k7/K6Q/8/8/8/8/8/8 b - - 0 1,Q vs k,-2,-1,3,0
8/4N3/8/1k4K1/8/8/8/8 w - - 0 1,N vs k,0,0,3,1
1k6/7K/8/8/6n1/8/8/8 w - - 0 1,K vs k+n,0,0,3,1
8/8/8/4K3/8/4n3/4k3/8 b - - 0 1,K vs k+n,0,0,3,0
2B1k3/8/8/5q2/2K5/8/8/8 b - - 0 1,B vs k+q,2,1,4,0
5k2/7Q/8/8/6r1/7K/4N3/8 b - - 0 1,Q+N vs k+r,-2,-16,5,0
K7/8/7k/8/8/8/3r4/7P w - - 0 1,P vs k+r,2,65535,4,1
8/8/K7/2k3n1/8/8/r7/8 w - - 0 1,K vs k+r+n,-2,-8,4,1
8/2P5/8/8/8/5r2/6k1/4K3 b - - 0 1,P vs k+r,2,3,4,0
r7/8/5k2/8/8/8/6K1/R3r3 b - - 0 1,R vs k+2r,2,1,5,0
3n3K/8/8/6k1/1r2Q3/8/8/8 b - - 0 1,Q vs k+r+n,2,1,5,0
8/6n1/r7/4k3/8/n7/8/3K4 w - - 0 1,K vs k+r+2n,-2,-12,5,1
5K2/8/k6N/3P2r1/5b2/8/8/8 b - - 0 1,N+P vs k+r+b,2,1,6,0
k7/8/8/8/8/q7/8/3K4 b - - 0 1,K vs k+q,2,13,3,0
8/8/5q2/1k4r1/8/8/8/7K w - - 0 1,K vs k+q+r,-2,-2,4,1
8/8/1K6/3q4/6Rq/8/2k5/8 b - - 0 1,R vs k+2q,2,1,5,0
8/8/3K4/4P3/k7/7P/4b3/8 b - - 0 1,2P vs k+b,0,0,5,0
3B4/8/8/6k1/8/8/8/2K5 b - - 0 1,B vs k,0,0,3,0
8/7k/1n6/8/8/2K5/8/8 b - - 0 1,K vs k+n,0,0,3,0
8/8/3K2k1/8/b7/5N2/8/8 w - - 0 1,N vs k+b,0,0,4,1
3k1Q2/8/8/8/B7/8/8/1K6 b - - 0 1,Q+B vs k,-2,-6,4,0
8/k1N1q3/8/8/8/8/6p1/1N1K4 b - - 0 1,2N vs k+q+p,2,1,6,0
8/6P1/8/8/6n1/6n1/K7/3k4 b - - 0 1,P vs k+2n,0,0,5,0
8/8/2r5/8/K5k1/6N1/8/p7 b - - 0 1,N vs k+r+p,2,1,5,0
N2K4/Q7/8/8/8/8/3k4/8 w - - 0 1,Q+N vs k,2,13,4,1
8/8/8/6p1/K2k4/8/8/8 w - - 0 1,K vs k+p,-2,-2,3,1
8/1k6/2r5/2r5/8/8/7K/1b6 b - - 0 1,K vs k+2r+b,2,3,5,0
1K6/8/8/8/1n2k3/4q3/3R4/8 w - - 0 1,R vs k+q+n,-2,-10,5,1
8/8/8/8/1k6/3R4/6K1/6R1 w - - 0 1,2R vs k,2,5,4,1
2K5/2N5/3k4/8/8/8/8/1Q6 w - - 0 1,Q+N vs k,2,7,4,1
8/2b4K/5p2/4k1n1/8/8/8/8 w - - 0 1,K vs k+b+n+p,-2,-2,5,1
5K2/8/4k3/3q4/8/2nP4/8/8 w - - 0 1,P vs k+q+n,-2,-2,5,1
8/8/8/3K3p/8/k6Q/8/8 w - - 0 1,Q vs k+p,2,1,4,1
8/8/5n2/2Q5/8/5K2/7n/3k4 w - - 0 1,Q vs k+2n,2,7,5,1
2B5/K7/8/8/8/8/7N/k6B w - - 0 1,2B+N vs k,2,17,5,1
8/3k4/8/8/8/8/4B2K/6N1 b - - 0 1,B+N vs k,-2,-59,4,0
6B1/8/1P5k/8/8/8/K7/8 w - - 0 1,B+P vs k,2,1,4,1
p7/4K3/8/4QR2/8/8/3k4/8 b - - 0 1,Q+R vs k+p,-2,-4,5,0
5K2/8/8/8/8/1kr5/1R6/8 b - - 0 1,R vs k+r,2,1,4,0
8/2K5/8/8/8/8/5k2/1R6 w - - 0 1,R vs k,2,25,3,1
8/k7/8/4K3/4p3/8/8/3r4 w - - 0 1,K vs k+r+p,-2,-2,4,1
8/5N2/3K4/8/8/8/1k6/8 w - - 0 1,N vs k,0,0,3,1
4N3/7K/8/4b3/4Qk2/8/8/8 b - - 0 1,Q+N vs k+b,0,0,5,0
1b6/k7/8/8/8/7K/2N5/8 b - - 0 1,N vs k+b,0,0,4,0
8/8/8/3K4/2N3q1/3k4/8/8 b - - 0 1,N vs k+q,2,1,4,0
8/8/8/8/8/3k3K/8/2R5 b - - 0 1,R vs k,-2,-28,3,0
8/8/8/3B4/6K1/k7/8/8 b - - 0 1,B vs k,0,0,3,0
q7/2r5/8/2K5/5k2/8/8/8 w - - 0 1,K vs k+q+r,-2,-2,4,1
8/8/8/8/4P3/N4k2/8/1b4K1 b - - 0 1,N+P vs k+b,0,0,5,0
1n4K1/8/7B/4Q3/8/7k/8/8 b - - 0 1,Q+B vs k+n,-2,-4,5,0
8/6k1/6N1/K7/8/8/8/4n3 b - - 0 1,N vs k+n,0,0,4,0
8/8/3N4/8/3k2n1/8/1K6/5N2 b - - 0 1,2N vs k+n,0,0,5,0
3k4/1B6/6K1/8/8/8/8/8 b - - 0 1,B vs k,0,0,3,0
8/6Q1/8/5r2/5K2/8/6k1/8 b - - 0 1,Q vs k+r,-2,-2,4,0
8/8/8/8/8/1K4k1/8/2b5 w - - 0 1,K vs k+b,0,0,3,1
k3K3/8/6PP/8/1b6/8/8/8 w - - 0 1,2P vs k+b,2,1,5,1
8/8/8/6K1/5r2/8/2k5/8 w - - 0 1,K vs k+r,0,0,3,1
8/8/5p2/8/3k3K/8/8/8 b - - 0 1,K vs k+p,2,1,3,0
8/k6K/p7/8/8/8/8/8 w - - 0 1,K vs k+p,-2,-2,3,1
8/8/k2b4/2K5/1b6/8/8/6b1 w - - 0 1,K vs k+3b,0,0,5,1
8/2K5/8/8/3B4/8/6k1/8 b - - 0 1,B vs k,0,0,3,0
B7/2k5/8/5K2/8/8/8/8 b - - 0 1,B vs k,0,0,3,0
3b4/6n1/8/8/5K2/7q/8/6k1 b - - 0 1,K vs k+q+b+n,2,3,5,0
6k1/4r3/8/8/7K/8/2r4Q/8 b - - 0 1,Q vs k+2r,2,1,5,0
8/k7/3Q4/3q4/8/8/8/K7 b - - 0 1,Q vs k+q,2,1,4,0
8/8/8/1K5N/8/8/1k6/8 w - - 0 1,N vs k,0,0,3,1
8/8/8/8/7K/k1B5/8/2R1N3 b - - 0 1,R+B+N vs k,-2,-6,5,0
8/8/1R6/1K6/3p4/1k6/8/8 w - - 0 1,R vs k+p,0,0,4,1
8/8/2N5/4B3/4K3/8/8/5k2 b - - 0 1,B+N vs k,-2,-47,4,0
6K1/8/8/8/1k6/3B4/8/5r2 b - - 0 1,B vs k+r,0,0,4,0
8/8/8/1Kb3k1/8/8/8/8 w - - 0 1,K vs k+b,0,0,3,1
6R1/8/8/8/4K1k1/8/8/7p b - - 0 1,R vs k+p,0,0,4,0
p7/8/8/8/K7/8/3p4/1k6 b - - 0 1,K vs k+2p,2,1,4,0
8/K3p1r1/2n5/8/8/8/k7/8 w - - 0 1,K vs k+r+n+p,-2,-4,5,1
8/4K3/2k5/5r2/8/8/8/8 b - - 0 1,K vs k+r,2,15,3,0
8/8/8/1k1K4/6p1/8/8/8 b - - 0 1,K vs k+p,2,1,3,0
1K2r3/2Q3k1/8/8/8/8/8/4Q3 w - - 0 1,2Q vs k+r,2,1,5,1
8/r7/6K1/8/1Pk2r2/8/8/8 b - - 0 1,P vs k+2r,2,1,5,0
8/2kR2n1/7K/8/8/8/2q5/8 b - - 0 1,R vs k+q+n,2,1,5,0
8/8/k7/8/8/8/2R1p3/4K3 w - - 0 1,R vs k+p,2,1,4,1
8/8/8/2k5/8/3B4/1K6/8 w - - 0 1,B vs k,0,0,3,1
4RK2/8/1k6/8/2B5/7R/8/8 w - - 0 1,2R+B vs k,2,5,5,1
8/8/2Q5/3K2r1/6p1/5k2/8/8 w - - 0 1,Q vs k+r+p,2,11,5,1
8/8/1K6/8/8/8/2nPk3/7B b - - 0 1,B+P vs k+n,0,0,5,0
2K5/8/8/8/6Rk/8/8/8 b - - 0 1,R vs k,0,0,3,0
8/8/2B1k3/8/8/2K5/8/8 b - - 0 1,B vs k,0,0,3,0
8/3k3B/8/8/8/8/6Q1/K7 b - - 0 1,Q+B vs k,-2,-12,4,0
1K6/4N3/8/8/8/8/8/2k5 w - - 0 1,N vs k,0,0,3,1
2P5/8/8/2k2K2/8/6n1/8/8 w - - 0 1,P vs k+n,2,3,4,1
4n3/8/1b3K2/8/5q2/8/6k1/8 w - - 0 1,K vs k+q+b+n,-2,-4,5,1
8/P7/8/8/8/1K6/7k/5Q2 w - - 0 1,Q+P vs k,2,1,4,1
8/8/8/8/1K6/B7/8/6k1 w - - 0 1,B vs k,0,0,3,1
8/8/8/8/1k2BN2/3Q1K2/8/8 b - - 0 1,Q+B+N vs k,-2,-6,5,0
8/2K5/8/5k2/6p1/2q5/8/8 w - - 0 1,K vs k+q+p,-2,-2,4,1
k7/8/2N2K2/8/8/8/8/8 w - - 0 1,N vs k,0,0,3,1
8/8/3K4/8/1B6/8/8/2k5 w - - 0 1,B vs k,0,0,3,1
2K5/8/p3r3/8/8/3Q4/4k3/8 b - - 0 1,Q vs k+r+p,2,1,5,0
8/8/1K6/8/8/8/5Q2/6k1 b - - 0 1,Q vs k,0,0,3,0
6K1/8/5P2/7p/8/8/q7/1k6 w - - 0 1,P vs k+q+p,-2,-2,5,1
8/K5k1/8/1N6/8/8/8/8 b - - 0 1,N vs k,0,0,3,0
2K5/8/5n2/8/1k6/6B1/8/8 w - - 0 1,B vs k+n,0,0,4,1
k7/8/8/8/2P5/8/4K3/2P5 b - - 0 1,2P vs k,-2,-2,4,0
8/3k4/8/2K5/8/6R1/8/8 w - - 0 1,R vs k,2,13,3,1
1k6/6K1/8/8/8/8/5r2/8 b - - 0 1,K vs k+r,2,23,3,0
8/8/5K2/8/8/1n6/r7/3k4 b - - 0 1,K vs k+r+n,2,19,4,0
3N4/4K3/8/1k6/8/8/8/8 w - - 0 1,N vs k,0,0,3,1
2n5/7K/8/8/8/4pB2/8/5k2 w - - 0 1,B vs k+n+p,0,0,5,1
6n1/7N/6k1/8/8/8/8/1P1K4 w - - 0 1,N+P vs k+n,0,0,5,1
8/1B1K4/7k/8/8/8/8/8 b - - 0 1,B vs k,0,0,3,0
8/5n2/4K1k1/8/8/1q6/1NB5/8 b - - 0 1,B+N vs k+q+n,2,1,6,0
8/8/8/6n1/8/K7/6k1/7n b - - 0 1,K vs k+2n,0,0,4,0
8/8/p7/8/8/K5r1/4k3/8 w - - 0 1,K vs k+r+p,-2,-2,4,1
5p2/8/5K2/2p5/8/8/1k6/7P w - - 0 1,P vs k+2p,2,2,5,1
3K4/8/8/8/8/8/7k/1br5 w - - 0 1,K vs k+r+b,-2,-18,4,1
5r1k/8/8/8/7K/8/8/q7 b - - 0 1,K vs k+q+r,2,3,4,0
8/8/8/8/7K/5kp1/8/8 b - - 0 1,K vs k+p,2,1,3,0
8/3N4/K7/8/p4k2/1b6/8/8 w - - 0 1,N vs k+b+p,-2,-4,5,1
3b4/1R6/8/8/2K2Pk1/8/8/8 w - - 0 1,R+P vs k+b,2,3,5,1
Q4b2/K7/8/4k3/8/7Q/8/8 w - - 0 1,2Q vs k+b,2,1,5,1
3K4/8/8/4r3/8/3p4/r7/7k w - - 0 1,K vs k+2r+p,-2,-2,5,1
8/8/1k6/b7/8/3K4/8/8 b - - 0 1,K vs k+b,0,0,3,0
8/8/2k5/1N6/3n4/8/3n4/4K3 w - - 0 1,N vs k+2n,0,0,5,1
8/8/1P6/6K1/8/n1B1k3/8/8 b - - 0 1,B+P vs k+n,-2,-2,5,0
7K/6p1/2k5/8/8/8/8/8 w - - 0 1,K vs k+p,0,0,3,1
8/4N3/2k5/3p4/5K2/8/8/8 b - - 0 1,N vs k+p,0,0,4,0
B5k1/K7/8/8/5n2/8/8/8 w - - 0 1,B vs k+n,0,0,4,1
8/8/K7/7R/8/4Nk2/8/8 w - - 0 1,R+N vs k,2,15,4,1
4BN2/2R5/8/8/7K/8/k7/8 w - - 0 1,R+B+N vs k,2,3,5,1
4pK2/8/8/8/1k6/8/8/6r1 w - - 0 1,K vs k+r+p,-2,-4,4,1
8/8/8/8/6p1/6k1/8/4K3 b - - 0 1,K vs k+p,2,3,3,0
1K6/8/8/8/k4B2/q6n/8/8 w - - 0 1,B vs k+q+n,-2,-10,5,1
4K3/8/8/7R/8/6B1/8/2r2k2 w - - 0 1,R+B vs k+r,2,3,5,1
2K2k2/8/8/5N2/8/8/7n/8 w - - 0 1,N vs k+n,0,0,4,1
1k6/4B3/8/8/4B3/4bK2/8/7p w - - 0 1,2B vs k+b+p,2,1,6,1
8/8/8/2k2K2/1b6/7n/8/1R6 w - - 0 1,R vs k+b+n,0,0,5,1
P7/8/8/8/8/8/3K4/4qk2 w - - 0 1,P vs k+q,-2,-4,4,1
1b6/8/8/8/1k1n4/6R1/6K1/8 b - - 0 1,R vs k+b+n,0,0,5,0
5K2/7r/1P6/8/8/5Q2/3k4/8 w - - 0 1,Q+P vs k+r,2,1,5,1
K5k1/6p1/7b/8/1N6/8/8/8 w - - 0 1,N vs k+b+p,0,0,5,1
8/8/8/K2q4/8/8/6k1/3P4 w - - 0 1,P vs k+q,-2,-2,4,1
6K1/8/3p4/8/8/1PN5/2k5/8 w - - 0 1,N+P vs k+p,2,1,5,1
6k1/5N2/8/8/8/5r2/2K5/8 w - - 0 1,N vs k+r,0,0,4,1
8/8/5K2/R7/8/8/2n5/2k5 w - - 0 1,R vs k+n,0,0,4,1
2b5/8/5B2/1K6/8/8/7k/3N4 b - - 0 1,B+N vs k+b,0,0,5,0
1K6/3k4/8/7q/8/8/8/8 b - - 0 1,K vs k+q,2,5,3,0
k7/8/8/N7/4B3/8/8/K7 b - - 0 1,B+N vs k,-2,-57,4,0
1n1B4/8/8/8/3K4/8/7R/4k3 b - - 0 1,R+B vs k+n,-2,-12,5,0
8/3B4/2r5/7b/2K5/8/4k3/8 w - - 0 1,B vs k+r+b,0,0,5,1
8/4P3/5r2/8/K7/6p1/8/3k4 b - - 0 1,P vs k+r+p,2,1,5,0
2R5/8/3p4/8/8/3k4/8/6K1 b - - 0 1,R vs k+p,-2,-16,4,0
1k6/8/8/3K4/8/2P5/8/8 b - - 0 1,P vs k,-2,-6,3,0
8/2K5/5r2/8/8/3Q4/k7/1q6 w - - 0 1,Q vs k+q+r,-2,-16,5,1
8/5R2/8/2K5/k7/8/6P1/8 b - - 0 1,R+P vs k,-2,-2,4,0
1k2Q3/8/8/4K3/3q4/8/8/6r1 w - - 0 1,Q vs k+q+r,2,1,5,1
8/8/2q5/8/4b2K/8/8/1k5p b - - 0 1,K vs k+q+b+p,2,1,5,0
8/7k/8/8/5N2/K7/8/3Rn3 w - - 0 1,R+N vs k+n,2,1,5,1
8/8/k6R/8/8/8/8/1K4B1 b - - 0 1,R+B vs k,-2,-16,4,0
7K/1k4B1/8/8/8/8/8/8 b - - 0 1,B vs k,0,0,3,0
8/8/1n6/8/2P5/4k3/7K/8 w - - 0 1,P vs k+n,0,0,4,1
8/8/N7/8/8/1k6/4P3/K7 w - - 0 1,N+P vs k,2,7,4,1
8/3p4/8/8/5R2/k3B3/6K1/8 b - - 0 1,R+B vs k+p,-2,-4,5,0
8/8/8/b6k/8/8/2B4K/8 b - - 0 1,B vs k+b,0,0,4,0
8/8/6b1/8/5k2/8/5K2/8 w - - 0 1,K vs k+b,0,0,3,1
5K2/8/k1b5/8/8/8/8/8 b - - 0 1,K vs k+b,0,0,3,0
8/6B1/3P4/6K1/8/k7/p7/Q7 w - - 0 1,Q+B+P vs k+p,2,1,6,1
8/8/K6k/2b5/8/2P5/8/8 b - - 0 1,P vs k+b,0,0,4,0
K1B5/8/8/6n1/8/3q4/8/3k4 b - - 0 1,B vs k+q+n,2,7,5,0
7K/1k1r2n1/8/8/8/8/2P5/8 b - - 0 1,P vs k+r+n,2,3,5,0
1N6/8/1K6/8/3k4/8/1R6/8 b - - 0 1,R+N vs k,-2,-18,4,0
4R3/2n5/8/7k/3K4/8/8/8 w - - 0 1,R vs k+n,2,14,4,1
8/1k6/3K2R1/4n3/3R2R1/8/8/8 w - - 0 1,3R vs k+n,2,1,6,1
8/qk6/3K4/B3b3/8/8/8/4B3 b - - 0 1,2B vs k+q+b,2,1,6,0
8/3k4/8/6p1/6K1/1p6/8/8 w - - 0 1,K vs k+2p,-2,-2,4,1
8/3k2Kn/8/8/5n2/8/6R1/8 b - - 0 1,R vs k+2n,0,0,5,0
8/4K3/r7/8/8/8/1Q1pk3/8 w - - 0 1,Q vs k+r+p,0,0,5,1
5p2/6k1/8/8/8/8/K7/8 w - - 0 1,K vs k+p,-2,-2,3,1
2q5/n7/1K6/5k2/3B4/8/8/8 w - - 0 1,B vs k+q+n,-2,-4,5,1
k7/8/5q2/5K2/4Nb2/8/8/8 w - - 0 1,N vs k+q+b,0,0,5,1
3P4/8/2r4k/8/8/8/8/1K6 b - - 0 1,P vs k+r,2,3,4,0
7b/8/6R1/2K4b/8/8/8/6k1 b - - 0 1,R vs k+2b,2,1,5,0
8/6n1/5n2/8/4k3/K7/3q4/8 w - - 0 1,K vs k+q+2n,-2,-8,5,1
4kp2/8/6K1/8/8/8/7p/8 w - - 0 1,K vs k+2p,-2,-2,4,1
8/8/8/2k5/8/1K3b2/p7/8 b - - 0 1,K vs k+b+p,2,1,4,0
8/8/8/6R1/8/4k3/K7/8 w - - 0 1,R vs k,2,27,3,1
8/8/8/3k4/Q7/8/8/4K3 w - - 0 1,Q vs k,2,15,3,1
7K/6p1/8/3k4/8/2R5/b7/8 w - - 0 1,R vs k+b+p,0,0,5,1
8/8/2K5/8/6q1/8/k7/8 w - - 0 1,K vs k+q,-2,-16,3,1
8/8/8/4rk2/7K/8/8/8 b - - 0 1,K vs k+r,2,3,3,0
8/8/7r/7k/4K3/5N1P/8/8 b - - 0 1,N+P vs k+r,0,0,5,0
8/2K5/8/8/8/6kB/8/8 b - - 0 1,B vs k,0,0,3,0
8/8/1B6/8/8/7k/8/K7 b - - 0 1,B vs k,0,0,3,0
5k2/8/8/8/3b1rK1/8/8/8 w - - 0 1,K vs k+r+b,0,0,4,1
1Q6/8/8/8/6k1/8/8/4n1Kn w - - 0 1,Q vs k+2n,2,1,5,1
8/7k/4q3/5R2/8/8/1K6/8 b - - 0 1,R vs k+q,2,1,4,0
8/8/8/1K6/2n5/8/5k2/8 w - - 0 1,K vs k+n,0,0,3,1
N7/8/8/1K6/8/8/3k4/8 w - - 0 1,N vs k,0,0,3,1
2k1K3/8/p7/8/8/8/8/6r1 b - - 0 1,K vs k+r+p,2,1,4,0
8/5B2/7K/r3R3/8/8/7k/8 b - - 0 1,R+B vs k+r,0,0,5,0
8/8/8/5q2/7k/8/4K3/8 b - - 0 1,K vs k+q,2,9,3,0
8/4K3/4r3/8/8/8/8/2k5 w - - 0 1,K vs k+r,0,0,3,1
3R4/8/2K5/8/8/7k/8/8 w - - 0 1,R vs k,2,15,3,1
8/8/7N/8/2K5/k1n5/2q5/2B5 b - - 0 1,B+N vs k+q+n,2,1,6,0
4K3/6k1/8/8/8/1R6/8/8 b - - 0 1,R vs k,-2,-22,3,0
8/1N6/5n2/8/4k3/4K3/8/8 w - - 0 1,N vs k+n,0,0,4,1
8/2P5/5q2/8/2K5/8/4k3/8 b - - 0 1,P vs k+q,2,3,4,0
K7/7p/4P3/8/8/8/6b1/2k5 w - - 0 1,P vs k+b+p,-2,-2,5,1
8/3K1p2/8/8/8/4k3/8/6n1 b - - 0 1,K vs k+n+p,2,1,4,0
6b1/k1K2P2/8/8/8/4B3/8/8 b - - 0 1,B+P vs k+b,-2,-2,5,0
8/3K4/N1N5/8/8/8/q7/4k3 b - - 0 1,2N vs k+q,2,1,5,0
7r/1K5q/8/8/8/3k4/8/8 w - - 0 1,K vs k+q+r,-2,-6,4,1
6K1/8/8/8/8/3kN3/2b5/8 b - - 0 1,N vs k+b,0,0,4,0
8/8/8/8/1K6/2p5/5b1k/8 b - - 0 1,K vs k+b+p,2,1,4,0
3B4/8/8/8/8/8/K6k/8 b - - 0 1,B vs k,0,0,3,0
8/8/1k6/1b1K4/B7/8/8/8 b - - 0 1,B vs k+b,0,0,4,0
8/8/2K5/7k/2N5/Q7/4R3/8 w - - 0 1,Q+R+N vs k,2,3,5,1
6K1/8/7p/2b5/8/8/1n6/3k4 b - - 0 1,K vs k+b+n+p,2,1,5,0
